Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,All-Star
Al Horford,204,C,30,BOS,68,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2.0,0.8,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,2016-2017,True
Allan Houston,181,SG,28,NYK,82,82,38.6,7.5,15.5,0.483,1.3,3.0,0.436,6.2,12.5,0.494,0.525,3.4,4.1,0.838,0.5,2.8,3.3,2.7,0.8,0.2,2.3,2.7,19.7,1999-2000,True
Amar'e Stoudemire,377,PF,27,PHO,82,82,34.6,8.6,15.4,0.557,0.0,0.1,0.167,8.6,15.3,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,3.4,23.1,2009-2010,True
Andre Drummond,115,C,23,DET,81,81,29.7,6.0,11.2,0.53,0.0,0.1,0.286,5.9,11.2,0.532,0.531,1.7,4.4,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6,2016-2017,True
Andre Iguodala,217,SF,27,PHI,67,67,36.9,5.0,11.3,0.445,0.9,2.7,0.337,4.1,8.6,0.479,0.486,3.1,4.5,0.693,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1,2010-2011,True
Andrei Kirilenko,210,SF,21,UTA,80,11,27.7,3.9,8.0,0.491,0.5,1.4,0.325,3.5,6.6,0.527,0.519,3.7,4.6,0.8,1.8,3.4,5.3,1.7,1.5,2.2,1.7,2.3,12.0,2002-2003,True
Andrew Bynum,72,C,23,LAL,54,47,27.8,4.4,7.6,0.574,0.0,0.0,,4.4,7.6,0.574,0.574,2.6,3.9,0.66,3.1,6.3,9.4,1.4,0.4,2.0,1.4,2.6,11.3,2010-2011,True
Andrew Wiggins,522,PF,25,GSW,71,71,33.3,7.1,14.9,0.477,2.0,5.2,0.38,5.1,9.7,0.529,0.543,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1.0,1.8,2.2,18.6,2020-2021,True
Antawn Jamison,209,PF,30,WAS,70,70,38.0,7.3,16.3,0.45,2.0,5.4,0.364,5.3,10.9,0.492,0.51,3.2,4.4,0.736,1.9,6.1,8.0,1.9,1.1,0.5,1.5,2.8,19.8,2006-2007,True
Anthony Davis,126,C,25,NOP,56,56,33.0,9.5,18.3,0.517,0.9,2.6,0.331,8.6,15.7,0.547,0.54,6.1,7.7,0.794,3.1,8.9,12.0,3.9,1.6,2.4,2.0,2.4,25.9,2018-2019,True
Anthony Edwards,156,SG,20,MIN,72,72,34.3,7.6,17.3,0.441,3.0,8.4,0.357,4.6,8.9,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3,2021-2022,True
Anthony Mason,253,SF,33,CHH,82,81,38.2,3.9,8.1,0.48,0.0,0.0,0.0,3.9,8.0,0.48,0.48,3.8,5.1,0.746,1.8,6.8,8.5,4.5,0.9,0.4,2.0,2.7,11.6,1999-2000,True
Antoine Walker,411,PF,25,BOS,81,81,42.0,8.2,20.9,0.394,2.7,8.0,0.344,5.5,12.9,0.425,0.46,3.0,4.0,0.741,1.9,7.0,8.8,5.0,1.5,0.5,3.1,2.9,22.1,2001-2002,True
Antonio Davis,98,C,31,TOR,79,78,31.4,4.0,9.0,0.44,0.0,0.0,,4.0,9.0,0.44,0.44,3.6,4.7,0.765,3.0,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5,1999-2000,True
Antonio McDyess,259,PF,25,DEN,81,81,33.3,7.6,15.0,0.507,0.0,0.0,0.0,7.6,14.9,0.508,0.507,4.0,6.4,0.626,2.9,5.6,8.5,2.0,0.9,1.7,2.8,3.9,19.1,1999-2000,True
Bam Adebayo,3,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,2021-2022,True
Baron Davis,92,PG,23,NOH,50,47,37.8,6.6,16.0,0.416,2.0,5.7,0.35,4.7,10.3,0.452,0.478,1.9,2.6,0.71,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3.0,17.1,2002-2003,True
Ben Simmons,449,PG,22,PHI,79,79,34.2,6.8,12.2,0.563,0.0,0.1,0.0,6.8,12.1,0.566,0.563,3.3,5.4,0.6,2.2,6.6,8.8,7.7,1.4,0.8,3.5,2.6,16.9,2018-2019,True
Blake Griffin,192,PF,28,LAC,33,33,34.5,7.7,17.5,0.441,1.9,5.7,0.342,5.8,11.8,0.488,0.497,5.2,6.6,0.785,1.4,6.5,7.9,5.4,0.9,0.3,3.0,2.4,22.6,2017-2018,True
Brad Miller,256,C,26,IND,73,72,31.1,4.5,9.1,0.493,0.1,0.2,0.313,4.4,8.9,0.498,0.497,4.0,4.9,0.818,2.5,5.7,8.3,2.6,0.9,0.6,1.6,2.8,13.1,2002-2003,True
Bradley Beal,35,SG,26,WAS,57,57,36.0,10.4,22.9,0.455,3.0,8.4,0.353,7.4,14.4,0.515,0.52,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,2019-2020,True
Brandon Ingram,249,SF,21,LAL,52,52,33.8,7.0,14.0,0.497,0.6,1.8,0.33,6.4,12.2,0.521,0.518,3.8,5.6,0.675,0.8,4.3,5.1,3.0,0.5,0.6,2.5,2.9,18.3,2018-2019,True
Brandon Roy,356,SG,23,POR,74,74,37.7,7.2,15.8,0.454,1.0,2.9,0.34,6.2,12.9,0.48,0.485,3.8,5.0,0.753,1.1,3.6,4.7,5.8,1.1,0.2,1.8,2.0,19.1,2007-2008,True
Brook Lopez,281,C,23,NJN,5,5,27.2,7.6,15.4,0.494,0.0,0.0,,7.6,15.4,0.494,0.494,4.0,6.4,0.625,1.6,2.0,3.6,1.2,0.2,0.8,1.2,1.6,19.2,2011-2012,True
Carlos Boozer,50,PF,25,UTA,74,74,34.6,8.7,15.6,0.561,0.0,0.0,,8.7,15.6,0.561,0.561,3.4,5.0,0.685,3.2,8.5,11.7,3.0,0.9,0.3,2.6,2.9,20.9,2006-2007,True
Carmelo Anthony,21,SF,31,NYK,72,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,2015-2016,True
Caron Butler,64,SF,25,WAS,75,54,36.1,6.6,14.5,0.455,0.5,1.6,0.342,6.0,12.9,0.469,0.474,3.9,4.4,0.87,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2,17.6,2005-2006,True
Chauncey Billups,45,PG,32,DEN,77,77,35.3,5.2,12.5,0.42,2.1,5.1,0.41,3.2,7.4,0.427,0.504,5.3,5.8,0.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.1,17.9,2008-2009,True
Chris Kaman,230,C,26,LAC,31,24,29.7,5.2,9.8,0.528,0.0,0.0,,5.2,9.8,0.528,0.528,1.6,2.4,0.68,2.4,5.5,8.0,1.5,0.5,1.5,2.7,3.0,12.0,2008-2009,True
Chris Paul,396,PG,35,PHO,70,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,2020-2021,True
D'Angelo Russell,438,PG,21,BRK,48,35,25.7,5.8,14.0,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2.0,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,2017-2018,True
Dale Davis,94,PF,29,IND,50,50,27.5,3.2,6.0,0.533,0.0,0.0,,3.2,6.0,0.533,0.533,1.5,2.5,0.618,3.1,5.2,8.3,0.4,0.4,1.1,0.9,2.3,8.0,1998-1999,True
